array,color
Norway 64-BE,purple
Norway 98-BE,purple
Norway 29-BE,purple
Norway 4-BE,purple
Norway FU24-BE,purple
Norway 16-BE,purple
Norway 56-BE,purple
Norway 18-BE,purple
Norway FU15-BE,purple
Norway FU37-BE,purple
Norway FU17-AF,purple
Norway FU16-BE,purple
Stanford LN4,purple
Norway 8-BE,purple
New York 1,purple
Stanford 38,purple
Stanford 31,purple
Stanford 18,purple
Norway 27-BE,purple
Norway 6-BE,purple
Norway 74-BE,purple
Norway FU10-BE,purple
Stanford 24,purple
Stanford 40,purple
Norway FU40-BE,purple
Norway FU25-BE,purple
Norway FU14-BE,purple
Norway 2-BE,purple
Norway 26 –BE,deepskyblue3
Norway 7-BE,deepskyblue3
Norway 48-BE,deepskyblue3
Norway 22-BE,deepskyblue3
Norway 95-BE,deepskyblue3
Norway 5-BE,deepskyblue3
Norway FU05-BE,deepskyblue3
Norway 15-BE,deepskyblue3
Norway 19-BE,deepskyblue3
Norway 102-BE,deepskyblue3
Norway 11-BE,deepskyblue3
Norway FU27-BE,hotpink
Norway FU35-BE,hotpink
Norway 61-BE,hotpink
Norway 101-BE,hotpink
Norway 92-BE,hotpink
Norway FU18-BE,hotpink
Norway FU04-BE,hotpink
Norway 65-2ndT,hotpink
Norway FU44-BE,hotpink
Norway FU30-AF,hotpink
Norway 57-BE,hotpink
Norway FU12-BE,red
Norway FU23-BE,red
Norway FU39-BE,red
Stanford 48,red
Stanford 14,red
Norway FU06-BE,red
Norway FU01-BE,red
Stanford LN46,red
Norway 41-BE,red
Stanford 23,red
New York 2,red
Norway H5,red
Norway 81-AF,red
Norway 63-BE,red
Norway 21-BE,red
Norway 37-BE,red
Norway 109-BE,red
Norway FU19-BE,red
New York 3,red
Norway H2,green
NomrBreast1,green
NormBreast3,green
NormBreast2,green
Benign STF 37,green
Benign STF 20,green
Benign STF 11,green
Stanford 17,green
NorwNormBrast,green
Norway 112-BE,green
